id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	token_p_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.2285	2	0.35	0.160	473.74	476.91	1781.76	2653.99	65.81
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.2285	3	0.50	0.223	477.12	482.92	1533.60	2735.48	59.25
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.2285	4	0.65	0.285	494.77	503.50	1889.30	1980.70	69.32
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.2285	5	0.80	0.347	496.83	520.84	1967.48	2390.27	64.31
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	139.950	140.280	0.2481	1	0.20	1.446	137.00	385.28	1147.94	2508.26	66.41
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	139.950	140.280	0.2481	2	0.35	1.495	126.46	377.63	1320.78	2490.55	63.68
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	139.950	140.280	0.2481	3	0.50	1.545	125.51	408.57	1651.04	2378.66	66.06
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	139.950	140.280	0.2481	4	0.65	1.595	124.37	463.27	1806.01	2503.58	62.76
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	139.950	140.280	0.2481	5	0.80	1.644	66.79	459.38	1889.27	2545.49	56.83
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	13.050	13.290	0.2533	1	0.20	2.968	113.67	329.20	2278.54	2964.39	66.96
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	13.050	13.290	0.2533	2	0.35	3.004	111.56	329.35	2267.60	2915.71	69.60
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	13.050	13.290	0.2533	3	0.50	3.040	111.19	331.07	2234.56	2839.07	71.29
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	13.050	13.290	0.2533	4	0.65	3.076	109.63	332.47	2250.81	2898.45	71.96
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	13.050	13.290	0.2533	5	0.80	3.112	110.55	331.29	2205.92	2806.74	72.29
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	1.400	1.970	0.6560	1	0.20	1.514	220.17	449.66	2387.48	2966.37	86.04
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	1.400	1.970	0.6560	2	0.35	1.599	183.32	476.12	2297.93	2940.03	75.95
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	1.400	1.970	0.6560	3	0.50	1.685	383.19	417.73	1818.00	2636.66	63.96
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	1.400	1.970	0.6560	4	0.65	1.770		545.57	1752.62	2840.04	50.86
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	1.400	1.970	0.6560	5	0.80	1.856	195.99	429.99	1468.52	2879.96	62.56
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	603.850	604.070	0.4910	1	0.20	2.724		482.09	2063.81	2884.17	36.72
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	603.850	604.070	0.4910	2	0.35	2.757		397.02	1660.30	2650.89	40.32
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	603.850	604.070	0.4910	3	0.50	2.790		1511.54	1715.79	2124.95	39.08
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	603.850	604.070	0.4910	4	0.65	2.823		1059.80	2025.69	3411.79	36.50
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	603.850	604.070	0.4910	5	0.80	2.856	166.33	456.43	1065.06	2334.67	54.65
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	1	0.20	1.700	119.38	352.82	1872.57	2462.68	67.76
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	2	0.35	1.775	110.82	318.70	1726.76	2435.23	66.84
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	3	0.50	1.850	106.18	344.38	1759.29	2529.74	63.20
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	4	0.65	1.925	94.90	200.81	1775.90	2550.70	58.20
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	5	0.80	2.000	99.00	284.81	1832.36	2576.92	58.19
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	650.690	650.800	0.3689	1	0.20	3.462	117.97	412.02	1941.15	2575.97	68.00
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	650.690	650.800	0.3689	2	0.35	3.479	121.62	362.42	1950.94	2578.89	65.54
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	650.690	650.800	0.3689	3	0.50	3.495	125.03	356.85	1940.99	2586.77	63.01
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	650.690	650.800	0.3689	4	0.65	3.511		380.01	1923.13	2568.40	60.99
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	650.690	650.800	0.3689	5	0.80	3.528	126.70	370.61	1898.84	2510.41	59.59
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	557.250	557.630	0.1964	1	0.20	0.088		689.05	1743.86	2974.76	29.55
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	557.250	557.630	0.1964	2	0.35	0.143		878.41	1875.73	3254.81	26.97
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	557.250	557.630	0.1964	3	0.50	0.197		882.84	1828.98	3276.27	26.28
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	557.250	557.630	0.1964	4	0.65	0.252		621.38	1997.23	3286.66	27.66
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	557.250	557.630	0.1964	5	0.80	0.307		1165.95	2005.87	3163.25	33.97
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	482.250	483.670	0.2624	1	0.20	0.296	184.99	340.16	1550.49	2198.86	66.05
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	482.250	483.670	0.2624	2	0.35	0.507		901.10	1835.33	2903.26	47.45
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	482.250	483.670	0.2624	3	0.50	0.718		243.91	1607.92	2710.71	48.38
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	482.250	483.670	0.2624	4	0.65	0.928	464.05	465.94	1891.21	2406.94	68.94
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	482.250	483.670	0.2624	5	0.80	1.139		283.32	1742.88	2723.30	42.98
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	109.870	110.700	0.3518	1	0.20	0.586		680.53	1647.24	2769.48	41.59
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	109.870	110.700	0.3518	2	0.35	0.711		736.47	1545.16	2608.11	35.20
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	109.870	110.700	0.3518	3	0.50	0.835		728.64	1643.68	2731.53	28.27
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	109.870	110.700	0.3518	4	0.65	0.960		700.12	1813.48	2744.29	25.15
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	109.870	110.700	0.3518	5	0.80	1.084		437.53	1660.17	2481.15	65.23
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	35.520	35.920	0.7906	1	0.20	4.430	95.80	681.70	1307.54	2512.11	61.06
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	35.520	35.920	0.7906	2	0.35	4.490	96.01	203.76	1939.49	2265.57	54.77
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	35.520	35.920	0.7906	3	0.50	4.550	109.10	277.51	2106.96	2694.73	56.49
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	35.520	35.920	0.7906	4	0.65	4.610		1699.21	2405.96	3299.58	55.61
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	35.520	35.920	0.7906	5	0.80	4.670		702.77	1442.94	2369.78	45.01
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	1	0.20	0.240		1372.07	2447.36	3776.95	26.91
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	2	0.35	0.330		875.47	1745.40	2593.30	33.36
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	3	0.50	0.420		1159.58	1901.94	2525.72	38.79
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	4	0.65	0.510		1256.10	2698.91	2979.11	40.46
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	5	0.80	0.600		708.54	1521.30	2714.37	42.75
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	250.620	251.040	0.6256	1	0.20	1.014	126.29	342.39	2199.98	2994.80	65.54
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	250.620	251.040	0.6256	2	0.35	1.077	131.62	358.02	2024.76	2390.70	70.22
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	250.620	251.040	0.6256	3	0.50	1.140	116.74	459.86	1750.71	2425.34	70.12
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	250.620	251.040	0.6256	4	0.65	1.203	93.18	396.02	1768.22	2546.61	56.80
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	250.620	251.040	0.6256	5	0.80	1.266	174.97	474.71	1225.86	2322.11	72.07
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	72.200	72.230	0.6490	1	0.20	2.036	85.55	377.84	1741.48	2348.47	66.13
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	72.200	72.230	0.6490	2	0.35	2.041	84.27	351.70	1776.20	2411.69	64.87
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	72.200	72.230	0.6490	3	0.50	2.045	83.35	346.24	1717.57	2526.09	63.70
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	72.200	72.230	0.6490	4	0.65	2.050	82.17	299.43	1726.82	3112.70	62.63
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	72.200	72.230	0.6490	5	0.80	2.054	81.15	267.84	1677.72	2850.27	61.55
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	76.570	77.420	0.3825	1	0.20	4.170	140.57	575.87	1701.86	2190.70	71.30
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	76.570	77.420	0.3825	2	0.35	4.297	139.46	601.60	2027.31	2350.28	68.67
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	76.570	77.420	0.3825	3	0.50	4.425		656.53	1927.28	3050.90	53.09
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	76.570	77.420	0.3825	4	0.65	4.552		441.11	1717.55	2686.55	64.99
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	76.570	77.420	0.3825	5	0.80	4.680		1043.76	1793.32	2891.27	54.20
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	65.050	65.540	0.5051	1	0.20	0.110		745.24	1946.12	3291.83	60.81
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	65.050	65.540	0.5051	2	0.35	0.181		683.68	1994.43	3796.04	59.59
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	65.050	65.540	0.5051	3	0.50	0.252		678.67	2052.75	3307.60	53.40
