id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	460.590	460.990	1.540	0.8353	172.00	473.42	749.70	1516.20
pa-021	doncs	12.25-16.87	clips/pa-021__doncs__12.25.wav	15.250	15.950	3.350	0.5382		564.55	1493.71	3028.72
pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	329.330	329.690	0.180	0.0937	176.75	366.55	680.00	2496.72
pa-030	doncs	43.53-48.63	clips/pa-030__doncs__43.53.wav	44.650	44.900	1.245	0.0396	105.98	2004.18	2674.79	3929.58
pa-032	doncs	21.61-27.23	clips/pa-032__doncs__21.61.wav	21.610	21.710	0.050	0.1216	192.86	251.06	1220.63	2578.98
pa-046	doncs	135.61-140.07	clips/pa-046__doncs__135.61.wav	137.610	138.030	2.210	0.4804		612.05	1213.12	2297.70
pa-048	doncs	302.89-306.79	clips/pa-048__doncs__302.89.wav	303.330	303.790	0.670	0.1533		951.98	1017.18	2525.11
pa-065	doncs	157.49-162.27	clips/pa-065__doncs__157.49.wav	159.730	159.760	2.255	0.5466	140.60	281.36	2046.36	2717.53
pa-001	perquè	59.57-63.31	clips/pa-001__perqu__59.57.wav	60.300	60.780	0.970	0.5731		642.46	1466.92	2173.34
pa-002	perquè	18.25-23.75	clips/pa-002__perqu__18.25.wav	18.250	19.150	0.450	0.1562		682.14	1814.37	3019.67
pa-003	perquè	201.57-207.03	clips/pa-003__perqu__201.57.wav	201.570	201.990	0.210	0.1358		699.39	2226.32	2992.07
pa-004	perquè	464.09-471.39	clips/pa-004__perqu__464.09.wav	467.890	468.630	4.170	0.5610	139.27	384.50	1899.18	2882.98
pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	101.970	102.390	0.930	0.7019	127.28	549.50	1476.87	2117.89
pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	349.890	350.390	0.890	0.7864	164.07	201.51	1587.53	2543.55
pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	107.930	108.450	2.340	0.4505		1136.02	2367.93	3208.75
pa-015	perquè	86.25-92.75	clips/pa-015__perqu__86.25.wav	87.690	88.320	1.755	0.8276		572.07	1582.28	2703.35
pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	82.360	82.880	2.850	0.7852	140.68	562.38	2019.38	2582.92
pa-017	perquè	4.25-12.15	clips/pa-017__perqu__4.25.wav	6.400	6.850	2.375	0.7613	133.08	514.26	2266.50	2779.59
