id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	8.820	0.5977	-56.77	-32.29	-19.72	0.0296	0.1567	226.92	139.06	877.30	2229.79	21	0.060	132
pa-022	a veure	238.61-245.15	clips/pa-022__a-veure__238.61.wav	6.540	0.4540	-64.45	-38.06	-27.24	0.0391	0.2136	213.48	188.80	1138.05	2502.04	14	0.120	73
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	4.900	0.6803	-52.31	-29.97	-23.40	0.0360	0.2003	272.82	191.57	1116.03	2208.32	12	0.060	84
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	5.380	0.5336	-64.97	-33.12	-22.21	0.0387	0.1815	237.39	161.06	1295.37	2248.38	9	0.080	71
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	5.700	0.6514	-58.79	-27.46	-17.75	0.0297	0.1712	245.20	183.45	797.35	2282.91	12	0.040	92
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	6.580	0.5854	-53.21	-32.23	-22.26	0.0376	0.2113	185.56	127.16	954.70	2352.73	15	0.080	97
pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	6.020	0.5967	-56.60	-32.24	-21.34	0.0391	0.2521	266.57	182.88	1114.90	2652.09	16	0.060	91
pa-022	reformeta	125.53-130.67	clips/pa-022__reformeta__125.53.wav	5.140	0.6562	-51.47	-29.52	-21.65	0.0407	0.2300	117.30	114.53	1049.40	2366.46	13	0.090	84
pa-023	a veure	268.81-272.59	clips/pa-023__a-veure__268.81.wav	3.780	0.4947	-58.80	-35.23	-23.02	0.0548	0.1793	126.34	18.07	1090.80	2141.53	9	0.170	45
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	4.100	0.6716	-52.08	-27.26	-21.03	0.0407	0.2255	139.79	125.40	930.99	2598.03	8	0.100	68
pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav	4.980	0.7581	-55.06	-27.53	-19.79	0.0407	0.1387	251.92	106.56	948.01	1727.56	10	0.060	93
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	8.740	0.3326	-67.34	-40.35	-28.60	0.0454	0.1690	330.49	54.67	1039.56	2113.85	20	0.160	72
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	4.620	0.4478	-71.89	-38.50	-23.77	0.0313	0.1003	258.97	55.61	1066.69	1968.60	9	0.140	52
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	6.820	0.5500	-70.73	-31.35	-20.48	0.0485	0.1739	278.40	105.03	1153.51	2269.42	12	0.060	90
pa-025	a veure	388.01-395.23	clips/pa-025__a-veure__388.01.wav	7.220	0.6444	-61.08	-29.81	-18.21	0.0329	0.1942	254.03	49.55	973.82	2316.40	14	0.080	116
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	3.860	0.5417	-60.64	-34.21	-21.44	0.0344	0.1501	248.30	186.57	989.68	2107.71	10	0.060	51
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	4.860	0.6653	-87.12	-23.10	-19.04	0.0000	0.1077	255.46	35.88	1059.86	2881.70	6	0.120	80
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	5.540	0.6775	-54.26	-29.56	-20.98	0.0321	0.3302	256.77	99.42	920.83	3389.68	16	0.060	95
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	3.700	0.3641	-57.81	-37.44	-26.50	0.0349	0.3183	145.12	179.67	978.18	3292.61	8	0.180	31
pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	3.260	0.7284	-55.44	-27.41	-22.06	0.0297	0.1987	238.48	110.83	788.55	2374.52	9	0.060	61
pa-025	reformeta	1085.53-1091.51	clips/pa-025__reformeta__1085.53.wav	5.980	0.5101	-60.96	-34.05	-22.26	0.0423	0.2419	254.39	96.19	983.85	2738.02	8	0.060	77
