id_persona	forma	clip	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	prob_mean	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	0.000	0.550	207.170	207.720	0.0165	0.6542	0.275	112.06	700.41	2323.99	3545.92	token QA; no és consens de dos models; pendent d'audició
pa-025	a veure	clips/pa-025__a-veure__388.01.wav	1.000	1.740	389.010	389.750	0.7039	0.8515	1.370	127.06	571.68	1148.84	2638.56	token QA; no és consens de dos models; pendent d'audició
pa-025	crec	clips/pa-025__crec__4.25.wav	0.800	0.900	5.050	5.150	0.9899	0.9899	0.850	139.87	296.47	1764.92	2829.07	token QA; no és consens de dos models; pendent d'audició
pa-025	de fet	clips/pa-025__de-fet__890.85.wav	1.590	2.000	892.440	892.850	0.6469	0.8082	1.795	110.78	421.40	2301.84	2931.58	token QA; no és consens de dos models; pendent d'audició
pa-025	diguem	clips/pa-025__diguem__500.89.wav	3.030	3.470	503.920	504.360	0.6352	0.8158	3.250	113.43	343.93	2243.20	2339.35	token QA; no és consens de dos models; pendent d'audició
pa-025	evidentment	clips/pa-025__evidentment__1156.61.wav	0.800	1.360	1157.410	1157.970	0.7289	0.8639	1.080	99.38	437.84	2170.37	3156.60	token QA; no és consens de dos models; pendent d'audició
pa-025	perquè	clips/pa-025__perqu__37.17.wav	0.550	0.980	37.720	38.150	0.8440	0.8440	0.765		920.80	2224.30	3239.35	token QA; no és consens de dos models; pendent d'audició
pa-025	reformeta	clips/pa-025__reformeta__1085.53.wav	2.140	2.900	1087.670	1088.430	0.4505	0.7125	2.520	194.08	360.05	2218.53	3237.70	token QA; no és consens de dos models; pendent d'audició
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	1.420	2.020	39.670	40.270	0.8241	0.9114	1.720	129.53	333.78	1428.75	2451.85	token QA; no és consens de dos models; pendent d'audició
pa-026	a veure	clips/pa-026__a-veure__64.09.wav	1.550	2.490	65.640	66.580	0.6966	0.8417	2.020		859.71	1905.96	3107.83	token QA; no és consens de dos models; pendent d'audició
pa-026	perquè	clips/pa-026__perqu__150.53.wav	0.420	0.610	150.950	151.140	0.6276	0.6276	0.515	126.11	536.27	1611.09	2303.71	token QA; no és consens de dos models; pendent d'audició
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	3.050	3.740	141.660	142.350	0.9543	0.9609	3.395		1614.53	2453.52	3662.27	token QA; no és consens de dos models; pendent d'audició
pa-027	crec	clips/pa-027__crec__8.81.wav	1.900	2.020	10.710	10.830	0.9514	0.9514	1.960		792.65	2476.69	3689.17	token QA; no és consens de dos models; pendent d'audició
pa-027	de fet	clips/pa-027__de-fet__109.45.wav	0.540	1.040	109.990	110.490	0.3832	0.6832	0.790		730.21	1584.45	2749.03	token QA; no és consens de dos models; pendent d'audició
pa-027	diguem	clips/pa-027__diguem__57.77.wav	1.070	1.490	58.840	59.260	0.3965	0.6932	1.280	143.31	311.09	2443.74	3725.40	token QA; no és consens de dos models; pendent d'audició
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	1.220	1.830	175.310	175.920	0.8805	0.9372	1.525	479.42	548.88	1391.91	2484.70	token QA; no és consens de dos models; pendent d'audició
pa-027	perquè	clips/pa-027__perqu__8.81.wav	1.370	1.700	10.180	10.510	0.7631	0.7631	1.535	132.14	434.10	1329.92	2358.98	token QA; no és consens de dos models; pendent d'audició
pa-028	bé	clips/pa-028__b__182.49.wav	3.030	3.120	185.520	185.610	0.9916	0.9916	3.075	126.72	159.05	1562.72	2871.58	token QA; no és consens de dos models; pendent d'audició
pa-028	clar	clips/pa-028__clar__290.33.wav	1.490	1.620	291.820	291.950	0.6888	0.6888	1.555	108.26	977.42	2103.77	2891.50	token QA; no és consens de dos models; pendent d'audició
pa-028	de fet	clips/pa-028__de-fet__31.17.wav	4.600	4.870	35.770	36.040	0.7839	0.8907	4.735		589.11	1676.27	2417.92	token QA; no és consens de dos models; pendent d'audició
pa-028	doncs	clips/pa-028__doncs__329.33.wav	1.080	1.330	330.410	330.660	0.8421	0.8421	1.205	133.81	208.97	1934.59	2471.57	token QA; no és consens de dos models; pendent d'audició
pa-028	llavors	clips/pa-028__llavors__151.01.wav	2.720	3.140	153.730	154.150	0.1910	0.5905	2.930	111.32	262.45	2028.83	3652.60	token QA; no és consens de dos models; pendent d'audició
