id_persona	nom_public	titol_font	serie	url	video_id	estat	durada	notes
pa-050	Àngels Mach	IDENTITATS: ÀNGELS MACH	rtva	https://www.youtube.com/watch?v=XOzHke6mBII	XOzHke6mBII	metadata-ok	1539	font localitzada; metadades pendents
pa-055	Ramon Canut Bové	Consell General	https://youtu.be/kLeQ6UJthLI	incorporada	Ramon Canut Bové; mostra del Consell Constituent; biografia lingüística pendent
pa-056	Enric Dolsa Font	Consell General	https://youtu.be/OrPvKUYQUXY	incorporada	Enric Dolsa Font; mostra del Consell Constituent; biografia lingüística pendent
pa-057	Gabriel Dallerès Codina	Consell General	https://youtu.be/mZtfU5LUTzg	incorporada	Gabriel Dallerès Codina; mostra del Consell Constituent; biografia lingüística pendent
pa-058	Miquel Aleix Areny	Consell General	https://youtu.be/cWNPFoyNRxs	incorporada	Miquel Aleix Areny; mostra del Consell Constituent; biografia lingüística pendent
pa-059	Nadia Aleix Tugas	Consell General	https://youtu.be/_GRn2R7IOTs	incorporada	Nadia Aleix Tugas; mostra del Consell Constituent; biografia lingüística pendent
pa-060	Antoni Armengol Vila	Consell General	https://youtu.be/JbOnYORyYLo	incorporada	Antoni Armengol Vila; mostra del Consell Constituent; biografia lingüística pendent
pa-061	Patrick Pérez	RTVA Andorra	https://youtu.be/2QI-1wTQjfM	incorporada	font RTVA; context territorial i biografia lingüística pendents
pa-062	Jordi Marquet	RTVA Andorra	https://youtu.be/0evP1gRQKzI	incorporada	font RTVA; context territorial i biografia lingüística pendents
pa-063	Roser Jordana	RTVA Andorra	https://youtu.be/j0yGAJtaLA8	incorporada	font RTVA; context territorial i biografia lingüística pendents
pa-064	Daniel Armengol	RTVA Andorra	https://youtu.be/p7NRiPLEFPo	incorporada	font RTVA; context territorial i biografia lingüística pendents
pa-065	Mossèn Ramon de Canillo	RTVA Andorra	https://youtu.be/n0QqCxTzFSA	incorporada	font RTVA; context territorial i biografia lingüística pendents
pa-066	Carles Sasplugas	RTVA Andorra	https://youtu.be/bPZugFJMhl4	incorporada	font RTVA; context territorial i biografia lingüística pendents
