forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
és a dir	pa-057	19.89-25.51		clips/pa-057__s-a-dir__19.89.wav	existent-extraient-sense-overlap	b7377ca3f46b1c14527d019f4fa4e786402b6bb189423a6a6cac92637f3a19e3	5.620
és a dir	pa-058	74.41-79.87	75.12-79.20	clips/pa-058__s-a-dir__74.41.wav	existent	3270b5a32a26b56d13f5e7a311d8571acb19fbe6c6b2bdb68cc78cd598fafc4b	5.460
és a dir	pa-059	487.81-491.67	488.48-491.68	clips/pa-059__s-a-dir__487.81.wav	existent	17b296a0e5a6e402bdd257057aa768211153ae1f07c592f8fb1986e8c2a6655c	3.860
és a dir	pa-060	207.33-213.63	208.00-212.92	clips/pa-060__s-a-dir__207.33.wav	existent	2471390a14b2c0fb36e070e927579b78a9ce4e80deca71d2cbf396266f737081	6.300
és a dir	pa-062	973.65-980.31	974.40-978.16	clips/pa-062__s-a-dir__973.65.wav	generat	fb0f7ddeaa9f328943a90c2dda128ececea860d7ceb0eca6da117ce7d4218d21	6.660
és a dir	pa-064	258.61-265.03	259.44-262.76	clips/pa-064__s-a-dir__258.61.wav	generat	6f88494f23f3f6d31519bbd2bab3319a6562eda4c3d55c7e809aeb164f191e1c	6.420
és a dir	pa-065	221.29-226.15	221.96-226.32	clips/pa-065__s-a-dir__221.29.wav	generat	547318df114e2471986fb9928eb93f947d264d0a16c6ebc99e598df803658079	4.860
aleshores	pa-001	10.13-13.63		clips/pa-001__aleshores__10.13.wav	existent-extraient-sense-overlap	fd634d674954d7ff8177d2765a9587aa75732bed51b4de4715487319bb373218	3.500
aleshores	pa-003	18.69-23.19		clips/pa-003__aleshores__18.69.wav	existent-extraient-sense-overlap	3d13e526e074748662304e0786ba52952d1e22332ddd5dd249c018336479bad9	4.500
aleshores	pa-006	513.25-518.75	513.38-518.38	clips/pa-006__aleshores__513.25.wav	existent	cac256c27dcd20d9a0f265adeaf6a2fdb6e5da095f09436154680c700b58f2d5	5.500
aleshores	pa-008	1315.25-1319.75		clips/pa-008__aleshores__1315.25.wav	existent-extraient-sense-overlap	acfe1234f287ab39e2606044e4d008e299c4e0f01dde49bfbdf93e1686854e87	4.500
aleshores	pa-011	89.33-95.07		clips/pa-011__aleshores__89.33.wav	existent-extraient-sense-overlap	afdb15fd72d7e509681355d6909f7f4d4f08fbc5d3e9195c5a6bdd2ce45edc91	5.740
aleshores	pa-012	246.25-250.75		clips/pa-012__aleshores__246.25.wav	existent-extraient-sense-overlap	1309d0c47db87d1eb9034c2daaf36ba9e488654f66ec11c3e024c501221bbc9b	4.500
