id_persona	forma	clip	json_full	estat
pa-038	crec	clips/pa-038__crec__220.69.wav	qa-clips-json-full/pa-038__crec__220_69.json	pendent-audicio
pa-038	llavors	clips/pa-038__llavors__264.13.wav	qa-clips-json-full/pa-038__llavors__264_13.json	pendent-audicio
pa-038	o sigui	clips/pa-038__o-sigui__16.65.wav	qa-clips-json-full/pa-038__o-sigui__16_65.json	pendent-audicio
pa-038	perquè	clips/pa-038__perqu__279.13.wav	qa-clips-json-full/pa-038__perqu__279_13.json	pendent-audicio
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	qa-clips-json-full/pa-038__reformeta__1821_69.json	pendent-audicio
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	qa-clips-json-full/pa-038__vull-dir__1576_57.json	pendent-audicio
pa-039	bé	clips/pa-039__b__27.77.wav	qa-clips-json-full/pa-039__b__27_77.json	pendent-audicio
pa-039	crec	clips/pa-039__crec__90.85.wav	qa-clips-json-full/pa-039__crec__90_85.json	pendent-audicio
pa-039	evidentment	clips/pa-039__evidentment__184.17.wav	qa-clips-json-full/pa-039__evidentment__184_17.json	pendent-audicio
pa-039	perquè	clips/pa-039__perqu__18.09.wav	qa-clips-json-full/pa-039__perqu__18_09.json	pendent-audicio
pa-040	crec	clips/pa-040__crec__4.37.wav	qa-clips-json-full/pa-040__crec__4_37.json	pendent-audicio
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	qa-clips-json-full/pa-040__de-fet__70_17.json	pendent-audicio
pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	qa-clips-json-full/pa-040__evidentment__103_93.json	pendent-audicio
pa-040	perquè	clips/pa-040__perqu__25.21.wav	qa-clips-json-full/pa-040__perqu__25_21.json	pendent-audicio
pa-041	bé	clips/pa-041__b__130.25.wav	qa-clips-json-full/pa-041__b__130_25.json	pendent-audicio
pa-041	clar	clips/pa-041__clar__0.00.wav	qa-clips-json-full/pa-041__clar__0_00.json	pendent-audicio
