forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
és a dir	pa-017	analitzada-provisional-contextual	488.00-494.00	487.25-494.75	488.44-490.92	sí	0.227	0.127	alta	sí	0.5555	216.03	clips/pa-017__s-a-dir__487.25.wav	pendent				9
a nivell	pa-018	analitzada-provisional-contextual	189.20-191.12	188.45-191.87	189.20-194.56	sí	0.044	0.121	alta	sí	0.5857	265.09	clips/pa-018__a-nivell__188.45.wav	pendent				9
bé	pa-018	analitzada-provisional-contextual	211.40-214.72	210.65-215.47	215.12-222.96	sí	0.066	0.141	alta	sí	0.5857	265.09	clips/pa-018__b__210.65.wav	pendent				9
crec	pa-018	analitzada-provisional-contextual	8.24-12.08	7.49-12.83	4.96-14.12	sí	0.056	0.062	alta	sí	0.5857	265.09	clips/pa-018__crec__7.49.wav	pendent				9
diguem	pa-018	analitzada-provisional-contextual	716.24-720.44	715.49-721.19	716.04-718.92	sí	0.344	0.035	alta	sí	0.5857	265.09	clips/pa-018__diguem__715.49.wav	pendent				9
perquè	pa-018	analitzada-provisional-contextual	91.84-95.72	91.09-96.47	91.84-95.80	sí	0.038	0.136	alta	sí	0.5857	265.09	clips/pa-018__perqu__91.09.wav	pendent				9
és a dir	pa-018	analitzada-provisional-contextual	75.24-79.08	74.49-79.83	75.12-79.12	sí	0.089	0.129	alta	sí	0.5857	265.09	clips/pa-018__s-a-dir__74.49.wav	pendent				9
a nivell	pa-019	analitzada-provisional-contextual	123.00-127.00	122.25-127.75	123.80-126.68	sí	0.211	0.090	alta	sí	0.5420	176.36	clips/pa-019__a-nivell__122.25.wav	pendent				9
bueno	pa-019	analitzada-provisional-contextual	329.00-333.00	328.25-333.75	328.92-331.80	sí	0.222	0.052	alta	sí	0.5420	176.36	clips/pa-019__bueno__328.25.wav	pendent				9
bé	pa-019	analitzada-provisional-contextual	196.00-201.00	195.25-201.75	196.80-200.60	sí	0.332	0.108	alta	sí	0.5420	176.36	clips/pa-019__b__195.25.wav	pendent				9
crec	pa-019	analitzada-provisional-contextual	28.00-31.00	27.25-31.75	23.72-28.52	sí	0.146	0.070	alta	sí	0.5420	176.36	clips/pa-019__crec__27.25.wav	pendent				9
diguem	pa-019	analitzada-provisional-contextual	110.00-113.00	109.25-113.75	109.52-112.60	sí	0.265	0.124	alta	sí	0.5420	176.36	clips/pa-019__diguem__109.25.wav	pendent				9
doncs	pa-019	analitzada-provisional-contextual	47.00-49.00	46.25-49.75	44.88-48.24	sí	0.177	0.077	alta	sí	0.5420	176.36	clips/pa-019__doncs__46.25.wav	pendent				9
evidentment	pa-019	analitzada-provisional-contextual	94.00-97.00	93.25-97.75	91.04-96.44	sí	0.090	0.101	alta	sí	0.5420	176.36	clips/pa-019__evidentment__93.25.wav	pendent				9
llavors	pa-019	analitzada-provisional-contextual	423.00-427.00	422.25-427.75	423.56-426.88	sí	0.302	0.107	alta	sí	0.5420	176.36	clips/pa-019__llavors__422.25.wav	pendent				9
aviam	pa-020	analitzada-provisional-contextual	252.96-255.68	252.21-256.43	254.56-259.00	sí	0.101	0.070	alta	sí	0.4873	200.29	clips/pa-020__aviam__252.21.wav	pendent				9
bé	pa-020	analitzada-provisional-contextual	147.12-151.56	146.37-152.31	147.16-151.44	sí	0.025	0.062	alta	sí	0.4873	200.29	clips/pa-020__b__146.37.wav	pendent				9
clar	pa-020	analitzada-provisional-contextual	90.56-93.56	89.81-94.31	90.60-95.16	sí	0.021	0.022	alta	sí	0.4873	200.29	clips/pa-020__clar__89.81.wav	pendent				9
evidentment	pa-020	analitzada-provisional-contextual	118.32-121.52	117.57-122.27	118.20-121.36	sí	0.038	0.057	alta	sí	0.4873	200.29	clips/pa-020__evidentment__117.57.wav	pendent				9
perquè	pa-020	analitzada-provisional-contextual	10.16-12.16	9.41-12.91	9.84-11.84	sí	0.012	0.063	alta	sí	0.4873	200.29	clips/pa-020__perqu__9.41.wav	pendent				9
tirar endavant	pa-020	analitzada-provisional-contextual	34.20-36.20	33.45-36.95	32.04-34.92	sí	0.048	0.041	alta	sí	0.4873	200.29	clips/pa-020__tirar-endavant__33.45.wav	pendent				9
bueno	pa-021	analitzada-provisional-contextual	13.00-16.12	12.25-16.87	13.76-17.48	sí	0.041	0.074	alta	sí	0.5765	221.14	clips/pa-021__bueno__12.25.wav	pendent				9
clar	pa-021	analitzada-provisional-contextual	126.64-130.48	125.89-131.23	126.60-130.48	sí	0.044	0.094	alta	sí	0.5765	221.14	clips/pa-021__clar__125.89.wav	pendent				9
crec	pa-021	analitzada-provisional-contextual	116.28-119.28	115.53-120.03	116.20-119.16	sí	0.031	0.032	alta	sí	0.5765	221.14	clips/pa-021__crec__115.53.wav	pendent				9
doncs	pa-021	analitzada-provisional-contextual	13.00-16.12	12.25-16.87	13.76-17.48	sí	0.034	0.074	alta	sí	0.5765	221.14	clips/pa-021__doncs__12.25.wav	pendent				9
evidentment	pa-021	analitzada-provisional-contextual	212.16-215.00	211.41-215.75	212.40-214.88	sí	0.088	0.081	alta	sí	0.5765	221.14	clips/pa-021__evidentment__211.41.wav	pendent				9
perquè	pa-021	analitzada-provisional-contextual	16.20-18.92	15.45-19.67	17.56-22.24	sí	0.035	0.156	alta	sí	0.5765	221.14	clips/pa-021__perqu__15.45.wav	pendent				9
vull dir	pa-021	analitzada-provisional-contextual	315.04-322.36	314.29-323.11	315.16-322.32	sí	0.088	0.046	alta	sí	0.5765	221.14	clips/pa-021__vull-dir__314.29.wav	pendent				9
és a dir	pa-021	analitzada-provisional-contextual	33.04-37.80	32.29-38.55	34.20-38.00	sí	0.033	0.174	alta	sí	0.5765	221.14	clips/pa-021__s-a-dir__32.29.wav	pendent				9
a veure	pa-022	analitzada-provisional-contextual	239.36-244.40	238.61-245.15	238.60-244.08	sí	0.114	0.156	alta	sí	0.6190	198.67	clips/pa-022__a-veure__238.61.wav	pendent				9
clar	pa-022	analitzada-provisional-contextual	108.48-112.36	107.73-113.11	108.40-110.92	sí	0.076	0.034	alta	sí	0.6190	198.67	clips/pa-022__clar__107.73.wav	pendent				9
crec	pa-022	analitzada-provisional-contextual	244.48-248.68	243.73-249.43	244.16-248.08	sí	0.085	0.016	alta	sí	0.6190	198.67	clips/pa-022__crec__243.73.wav	pendent				9
de fet	pa-022	analitzada-provisional-contextual	420.96-423.96	420.21-424.71	421.08-424.08	sí	0.113	0.081	alta	sí	0.6190	198.67	clips/pa-022__de-fet__420.21.wav	pendent				9
evidentment	pa-022	analitzada-provisional-contextual	303.76-308.84	303.01-309.59	303.52-308.52	sí	0.071	0.187	alta	sí	0.6190	198.67	clips/pa-022__evidentment__303.01.wav	pendent				9
o sigui	pa-022	analitzada-provisional-contextual	43.68-48.20	42.93-48.95	43.68-45.76	sí	0.098	0.164	alta	sí	0.6190	198.67	clips/pa-022__o-sigui__42.93.wav	pendent				9
perquè	pa-022	analitzada-provisional-contextual	112.44-114.92	111.69-115.67	112.32-114.80	sí	0.040	0.076	alta	sí	0.6190	198.67	clips/pa-022__perqu__111.69.wav	pendent				9
reformeta	pa-022	analitzada-provisional-contextual	126.28-129.92	125.53-130.67	126.52-130.00	sí	0.153	0.115	alta	sí	0.6190	198.67	clips/pa-022__reformeta__125.53.wav	pendent				9
és a dir	pa-022	analitzada-provisional-contextual	12.24-17.16	11.49-17.91	10.88-17.20	sí	0.102	0.027	alta	sí	0.6190	198.67	clips/pa-022__s-a-dir__11.49.wav	pendent				9
a nivell	pa-023	analitzada-provisional-contextual	419.32-422.24	418.57-422.99	419.28-424.16	sí	0.043	0.111	alta	sí	0.6249	136.86	clips/pa-023__a-nivell__418.57.wav	pendent				9
a veure	pa-023	analitzada-provisional-contextual	269.56-271.84	268.81-272.59	269.52-272.00	sí	0.039	0.096	alta	sí	0.6249	136.86	clips/pa-023__a-veure__268.81.wav	pendent				9
bé	pa-023	analitzada-provisional-contextual	410.12-412.72	409.37-413.47	410.04-412.56	sí	0.173	0.116	alta	sí	0.6249	136.86	clips/pa-023__b__409.37.wav	pendent				9
crec	pa-023	analitzada-provisional-contextual	43.68-49.48	42.93-50.23	48.12-51.24	sí	0.063	0.036	alta	sí	0.6249	136.86	clips/pa-023__crec__42.93.wav	pendent				9
perquè	pa-023	analitzada-provisional-contextual	29.84-34.04	29.09-34.79	30.00-34.12	sí	0.061	0.038	alta	sí	0.6249	136.86	clips/pa-023__perqu__29.09.wav	pendent				9
