id_persona	forma	interval_escolta	clip	json_small	estat
pa-023	diguem	55.05-60.95	clips/pa-023__diguem__55.05.wav	qa-cua-small-json/pa-023__diguem__55_05.json	pendent-audicio
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	qa-cua-small-json/pa-025__diguem__500_89.json	pendent-audicio
pa-027	diguem	57.77-63.27	clips/pa-027__diguem__57.77.wav	qa-cua-small-json/pa-027__diguem__57_77.json	pendent-audicio
pa-028	diguem	168.89-174.15	clips/pa-028__diguem__168.89.wav	qa-cua-small-json/pa-028__diguem__168_89.json	pendent-audicio
pa-029	diguem	929.69-935.51	clips/pa-029__diguem__929.69.wav	qa-cua-small-json/pa-029__diguem__929_69.json	pendent-audicio
pa-033	diguem	49.01-55.91	clips/pa-033__diguem__49.01.wav	qa-cua-small-json/pa-033__diguem__49_01.json	pendent-audicio
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	qa-cua-small-json/pa-034__diguem__504_45.json	pendent-audicio
pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	qa-cua-small-json/pa-037__diguem__469_77.json	pendent-audicio
pa-038	diguem	251.25-260.55	clips/pa-038__diguem__251.25.wav	qa-cua-small-json/pa-038__diguem__251_25.json	pendent-audicio
pa-039	diguem	144.37-152.95	clips/pa-039__diguem__144.37.wav	qa-cua-small-json/pa-039__diguem__144_37.json	pendent-audicio
