tipus	id	fitxer	durada_s	sample_rate_hz	canals	bytes	estat	nota
clip	pa-045::evidentment::290.13-298.31	clips/pa-045__evidentment__290.13.wav	8.180	16000	1	261838	ok	
clip	pa-046::evidentment::705.69-711.03	clips/pa-046__evidentment__705.69.wav	5.340	16000	1	170958	ok	
clip	pa-049::evidentment::117.17-126.51	clips/pa-049__evidentment__117.17.wav	9.340	16000	1	298958	ok	
clip	pa-055::evidentment::1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	7.300	16000	1	233678	ok	
clip	pa-056::evidentment::43.45-48.59	clips/pa-056__evidentment__43.45.wav	5.140	16000	1	164558	ok	
clip	pa-059::evidentment::152.13-162.03	clips/pa-059__evidentment__152.13.wav	9.900	16000	1	316878	ok	
clip	pa-061::evidentment::672.69-677.43	clips/pa-061__evidentment__672.69.wav	4.740	16000	1	151758	ok	
clip	pa-062::evidentment::163.29-166.67	clips/pa-062__evidentment__163.29.wav	3.380	16000	1	108238	ok	
clip	pa-064::evidentment::485.89-491.71	clips/pa-064__evidentment__485.89.wav	5.820	16000	1	186318	ok	
clip	pa-066::evidentment::89.75-95.41	clips/pa-066__evidentment__89.75.wav	5.660	16000	1	181198	ok	
clip	pa-003::diguem::212.85-219.51	clips/pa-003__diguem__212.85.wav	6.660	16000	1	213198	ok	
clip	pa-006::diguem::530.25-535.75	clips/pa-006__diguem__530.25.wav	5.500	16000	1	176078	ok	
clip	pa-007::diguem::585.25-591.75	clips/pa-007__diguem__585.25.wav	6.500	16000	1	208078	ok	
clip	pa-008::diguem::374.25-379.75	clips/pa-008__diguem__374.25.wav	5.500	16000	1	176078	ok	
clip	pa-009::diguem::60.25-66.75	clips/pa-009__diguem__60.25.wav	6.500	16000	1	208078	ok	
clip	pa-018::diguem::715.49-721.19	clips/pa-018__diguem__715.49.wav	5.700	16000	1	182478	ok	
clip	pa-019::diguem::109.25-113.75	clips/pa-019__diguem__109.25.wav	4.500	16000	1	144078	ok	
clip	pa-020::diguem::1459.77-1463.95	clips/pa-020__diguem__1459.77.wav	4.180	16000	1	133838	ok	
clip	pa-022::diguem::447.57-453.55	clips/pa-022__diguem__447.57.wav	5.980	16000	1	191438	ok	
clip	pa-023::diguem::55.05-60.95	clips/pa-023__diguem__55.05.wav	5.900	16000	1	188878	ok	
clip	pa-025::diguem::500.89-506.43	clips/pa-025__diguem__500.89.wav	5.540	16000	1	177358	ok	
clip	pa-027::diguem::57.77-63.27	clips/pa-027__diguem__57.77.wav	5.500	16000	1	176078	ok	
clip	pa-028::diguem::168.89-174.15	clips/pa-028__diguem__168.89.wav	5.260	16000	1	168398	ok	
clip	pa-029::diguem::929.69-935.51	clips/pa-029__diguem__929.69.wav	5.820	16000	1	186318	ok	
clip	pa-033::diguem::49.01-55.91	clips/pa-033__diguem__49.01.wav	6.900	16000	1	220878	ok	
clip	pa-034::diguem::504.45-508.51	clips/pa-034__diguem__504.45.wav	4.060	16000	1	129998	ok	
clip	pa-037::diguem::469.77-482.03	clips/pa-037__diguem__469.77.wav	12.260	16000	1	392398	ok	
clip	pa-038::diguem::251.25-260.55	clips/pa-038__diguem__251.25.wav	9.300	16000	1	297678	ok	
clip	pa-039::diguem::144.37-152.95	clips/pa-039__diguem__144.37.wav	8.580	16000	1	274638	ok	
clip	pa-046::diguem::626.01-630.19	clips/pa-046__diguem__626.01.wav	4.180	16000	1	133838	ok	
clip	pa-049::diguem::213.13-220.43	clips/pa-049__diguem__213.13.wav	7.300	16000	1	233678	ok	
clip	pa-057::diguem::929.81-935.31	clips/pa-057__diguem__929.81.wav	5.500	16000	1	176078	ok	
clip	pa-058::diguem::715.21-718.91	clips/pa-058__diguem__715.21.wav	3.700	16000	1	118478	ok	
clip	pa-060::diguem::55.05-60.91	clips/pa-060__diguem__55.05.wav	5.860	16000	1	187598	ok	
