forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
de fet	pa-002	72.25-76.75	clips/pa-002__de-fet__72.25.wav	sí	4.500	0.3795	-55.63	-36.92	-25.47	0.0318	0.2255	328.18	69.31	832.42	2410.98	14	0.100	42	descriptor orientatiu; no és anotació fonètica
de fet	pa-003	0.00-7.19	clips/pa-003__de-fet__0.00.wav	sí	7.190	0.5838	-45.91	-27.78	-15.70	0.0469	0.2222	219.64	124.52	1394.91	2475.81	14	0.060	105	descriptor orientatiu; no és anotació fonètica
de fet	pa-004	601.17-607.35	clips/pa-004__de-fet__601.17.wav	sí	6.180	0.2468	-66.04	-38.64	-32.88	0.0360	0.2962	310.31	177.78	1308.97	3023.98	21	0.100	37	descriptor orientatiu; no és anotació fonètica
de fet	pa-006	285.25-291.75	clips/pa-006__de-fet__285.25.wav	sí	6.500	0.5772	-59.39	-33.09	-26.44	0.0203	0.1208	117.01	83.36	741.78	2372.52	17	0.070	95	descriptor orientatiu; no és anotació fonètica
de fet	pa-008	799.25-804.75	clips/pa-008__de-fet__799.25.wav	sí	5.500	0.4307	-49.96	-35.78	-30.28	0.0250	0.2635	166.74	174.40	1213.49	2799.34	19	0.070	61	descriptor orientatiu; no és anotació fonètica
de fet	pa-010	647.25-652.75	clips/pa-010__de-fet__647.25.wav	sí	5.500	0.5949	-60.50	-31.29	-24.36	0.0219	0.4509	121.50	147.74	860.69	4129.27	14	0.100	82	descriptor orientatiu; no és anotació fonètica
de fet	pa-011	557.25-561.31	clips/pa-011__de-fet__557.25.wav	sí	4.060	0.1881	-67.08	-47.89	-31.09	0.0610	0.2124	190.87	78.68	1154.51	2565.28	7	0.220	19	descriptor orientatiu; no és anotació fonètica
de fet	pa-016	318.53-324.03	clips/pa-016__de-fet__318.53.wav	sí	5.500	0.6460	-56.65	-30.88	-22.92	0.0407	0.2844	291.45	110.39	1115.66	2921.80	13	0.060	88	descriptor orientatiu; no és anotació fonètica
de fet	pa-022	420.21-424.71	clips/pa-022__de-fet__420.21.wav	no	4.500	0.5536	-59.24	-33.26	-24.55	0.0329	0.2496	118.29	150.07	1135.40	2639.81	10	0.060	61	descriptor orientatiu; no és anotació fonètica
de fet	pa-023	72.49-78.31	clips/pa-023__de-fet__72.49.wav	sí	5.820	0.6414	-51.46	-28.90	-20.18	0.0376	0.2396	145.80	132.62	960.07	2852.76	17	0.060	93	descriptor orientatiu; no és anotació fonètica
de fet	pa-024	482.25-489.07	clips/pa-024__de-fet__482.25.wav	sí	6.820	0.5500	-70.73	-31.35	-20.48	0.0485	0.1739	278.40	105.03	1153.51	2269.42	12	0.060	90	descriptor orientatiu; no és anotació fonètica
de fet	pa-025	890.85-894.31	clips/pa-025__de-fet__890.85.wav	sí	3.460	0.3837	-61.64	-38.11	-27.38	0.0471	0.3216	309.50	150.12	1277.48	3295.96	14	0.100	31	descriptor orientatiu; no és anotació fonètica
de fet	pa-027	109.45-115.11	clips/pa-027__de-fet__109.45.wav	sí	5.660	0.5674	-55.63	-32.50	-23.21	0.0344	0.1659	240.44	112.07	1065.96	2026.52	14	0.080	80	descriptor orientatiu; no és anotació fonètica
de fet	pa-028	31.17-37.07	clips/pa-028__de-fet__31.17.wav	sí	5.900	0.6020	-60.64	-29.91	-21.97	0.0172	0.2150	134.02	18.99	1206.41	2591.19	9	0.110	88	descriptor orientatiu; no és anotació fonètica
de fet	pa-031	9.93-14.23	clips/pa-031__de-fet__9.93.wav	sí	4.300	0.5374	-63.39	-32.93	-23.21	0.0255	0.2175	142.95	134.10	898.28	2470.24	8	0.080	57	descriptor orientatiu; no és anotació fonètica
de fet	pa-033	249.69-252.55	clips/pa-033__de-fet__249.69.wav	sí	2.860	0.4155	-66.17	-38.18	-24.29	0.0438	0.1828	308.34	207.97	1496.42	2475.64	9	0.080	29	descriptor orientatiu; no és anotació fonètica
de fet	pa-040	70.17-73.51	clips/pa-040__de-fet__70.17.wav	sí	3.340	0.6687	-42.48	-30.42	-22.78	0.0391	0.2527	179.13	99.23	1067.71	2435.46	14	0.040	56	descriptor orientatiu; no és anotació fonètica
de fet	pa-051	200.81-205.31	clips/pa-051__de-fet__200.81.wav	no	4.500	0.6473	-39.34	-30.72	-18.98	0.0521	0.1549	283.48	174.31	1332.06	1914.17	9	0.080	73	descriptor orientatiu; no és anotació fonètica
de fet	pa-057	561.25-569.07	clips/pa-057__de-fet__561.25.wav	no	7.820	0.6487	-58.44	-32.00	-23.07	0.0438	0.2662	184.03	134.55	1102.71	2680.44	17	0.040	126	descriptor orientatiu; no és anotació fonètica
de fet	pa-060	72.57-78.35	clips/pa-060__de-fet__72.57.wav	sí	5.780	0.6632	-50.66	-28.94	-20.42	0.0371	0.2310	149.14	135.36	1033.60	2893.25	17	0.050	96	descriptor orientatiu; no és anotació fonètica
de fet	pa-065	883.97-888.71	clips/pa-065__de-fet__883.97.wav	no	4.740	0.5763	-53.38	-31.56	-21.84	0.0313	0.3106	172.44	178.64	973.90	2798.10	13	0.130	67	descriptor orientatiu; no és anotació fonètica
de fet	pa-066	44.37-49.71	clips/pa-066__de-fet__44.37.wav	sí	5.340	0.6729	-51.07	-30.38	-24.62	0.0391	0.2465	287.18	72.24	1141.12	2892.32	18	0.060	86	descriptor orientatiu; no és anotació fonètica
és a dir	pa-001	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	no	3.500	0.7414	-46.93	-27.07	-20.98	0.0250	0.1493	205.48	48.83	793.88	2120.33	9	0.070	64	descriptor orientatiu; no és anotació fonètica
és a dir	pa-002	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	no	5.500	0.5657	-55.23	-32.38	-22.50	0.0376	0.1801	320.59	133.84	857.93	2424.99	13	0.100	78	descriptor orientatiu; no és anotació fonètica
és a dir	pa-003	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	sí	5.460	0.6103	-46.41	-26.20	-15.57	0.0423	0.2643	252.34	131.79	1312.53	2848.39	11	0.080	83	descriptor orientatiu; no és anotació fonètica
és a dir	pa-007	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	sí	3.500	0.5747	-60.84	-33.18	-19.45	0.0490	0.4582	281.51	135.35	1524.88	4087.57	8	0.120	49	descriptor orientatiu; no és anotació fonètica
és a dir	pa-008	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	sí	4.500	0.5580	-39.42	-34.34	-25.78	0.0271	0.1169	167.05	118.17	1207.97	2107.47	15	0.070	61	descriptor orientatiu; no és anotació fonètica
és a dir	pa-010	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	sí	6.300	0.5764	-93.22	-31.07	-21.38	0.0016	0.3041	122.81	158.52	876.87	3777.44	13	0.070	91	descriptor orientatiu; no és anotació fonètica
és a dir	pa-011	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	sí	6.580	0.4390	-51.77	-37.03	-18.79	0.0657	0.4144	224.09	67.24	1402.71	3749.56	18	0.060	73	descriptor orientatiu; no és anotació fonètica
és a dir	pa-013	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	sí	7.580	0.7381	-57.64	-20.65	-10.31	0.0689	0.5674	301.34	134.62	1146.75	5041.08	11	0.060	138	descriptor orientatiu; no és anotació fonètica
és a dir	pa-014	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	no	11.900	0.5623	-61.01	-31.49	-20.34	0.0188	0.2296	142.57	34.93	1097.81	2663.83	19	0.080	167	descriptor orientatiu; no és anotació fonètica
és a dir	pa-016	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	sí	4.620	0.5783	-54.79	-32.82	-23.59	0.0405	0.4211	288.85	54.91	1282.59	3813.18	11	0.060	67	descriptor orientatiu; no és anotació fonètica
és a dir	pa-017	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	sí	7.500	0.5722	-55.13	-32.98	-22.12	0.0297	0.2108	219.66	147.61	1004.45	2270.20	25	0.080	108	descriptor orientatiu; no és anotació fonètica
és a dir	pa-018	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	no	5.340	0.6504	-58.20	-29.65	-21.06	0.0329	0.1768	262.17	51.98	914.44	2318.69	10	0.120	87	descriptor orientatiu; no és anotació fonètica
