id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-009	territorial	Ordino	2		no-clip	ASR; pendent d'audicio
pa-009	territorial	Sant Julià	3		no-clip	ASR; pendent d'audicio
pa-009	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	comú	3		no-clip	ASR; pendent d'audicio
pa-009	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	padrí	1		no-clip	ASR; pendent d'audicio
pa-009	territorial	parròquia	4		no-clip	ASR; pendent d'audicio
pa-009	territorial	santuari	1		no-clip	ASR; pendent d'audicio
pa-009	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	bé	3	clips/pa-010__b__24.65.wav	no	ASR; pendent d'audicio
pa-010	discurs	clar	5	clips/pa-010__clar__334.85.wav	sí	ASR; pendent d'audicio
pa-010	discurs	de fet	3	clips/pa-010__de-fet__647.25.wav	sí	ASR; pendent d'audicio
pa-010	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	doncs	7	clips/pa-010__doncs__24.65.wav	sí	ASR; pendent d'audicio
pa-010	discurs	evidentment	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	llavors	5	clips/pa-010__llavors__386.25.wav	sí	ASR; pendent d'audicio
pa-010	discurs	no?	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	per tant	1		no-clip	ASR; pendent d'audicio
pa-010	discurs	perquè	16	clips/pa-010__perqu__196.65.wav	sí	ASR; pendent d'audicio
pa-010	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-010	discurs	és a dir	10	clips/pa-010__s-a-dir__243.25.wav	sí	ASR; pendent d'audicio
pa-010	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	Escaldes	1		no-clip	ASR; pendent d'audicio
pa-010	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	Ordino	1		no-clip	ASR; pendent d'audicio
pa-010	territorial	Sant Julià	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	comuns	1		no-clip	ASR; pendent d'audicio
pa-010	territorial	comú	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	parròquia	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-010	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	a veure	1	clips/pa-011__a-veure__551.81.wav	sí	ASR; pendent d'audicio
pa-011	discurs	aleshores	4	clips/pa-011__aleshores__89.33.wav	no	ASR; pendent d'audicio
pa-011	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	bé	2	clips/pa-011__b__185.57.wav	sí	ASR; pendent d'audicio
pa-011	discurs	clar	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	de fet	1	clips/pa-011__de-fet__557.25.wav	sí	ASR; pendent d'audicio
pa-011	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	doncs	10	clips/pa-011__doncs__61.49.wav	sí	ASR; pendent d'audicio
pa-011	discurs	evidentment	1	clips/pa-011__evidentment__157.65.wav	sí	ASR; pendent d'audicio
pa-011	discurs	llavors	0		no-clip	ASR; pendent d'audicio
pa-011	discurs	no?	1		no-clip	ASR; pendent d'audicio
