idDivision	taula	serie	periode	valor	font	actualitzat
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	1999	1.3	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	2004	1.2	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	2009	1.3	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	2014	3.5	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	2018	1.8	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	1995	4.8	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	1999	6.2	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	2004	6.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	2009	5.4	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	2014	5.5	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ALTRES	2018	5.0	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CATALÀ	2009	38.1	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CATALÀ	2014	49.7	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CATALÀ	2018	45.9	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CASTELLÀ	2009	39.7	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CASTELLÀ	2014	35.8	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. CASTELLÀ	2018	42.6	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. FRANCÈS	2009	8.5	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. FRANCÈS	2014	6.1	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. FRANCÈS	2018	6.9	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. PORTUGUÈS	2009	14.5	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. PORTUGUÈS	2014	15.9	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. PORTUGUÈS	2018	14.2	Departament de Política Lingüística	2022-01-29
1961	LLENGUA QUE CONSIDERA COM A PRÒPIA	LLENGUA QUE CONSIDERA COM A PRÒPIA. ANGLÈS	2009	1.4	Departament de Política Lingüística	2022-01-29
